mês	ano	valor	data formatada	valor corrigido
Janeiro	2018	2000340,85	01/01/2018	2898948,19
Fevereiro	2018	1564241,38	01/02/2018	2266941,015
Março	2018	2075483,41	01/03/2018	3007846,825
Abril	2018	1916563,06	01/04/2018	2777535,146
Maio	2018	2309625,5	01/05/2018	3347171,89
Junho	2018	2069860,13	01/06/2018	2999697,416
Julho	2018	2707633,91	01/07/2018	3923976,468
Agosto	2018	2597414,67	01/08/2018	3764243,757
Setembro	2018	2016783,75	01/09/2018	2922777,687
Outubro	2018	2710141,69	01/10/2018	3927610,811
Novembro	2018	1924674,35	01/11/2018	2789290,247
Dezembro	2018	1972783,03	01/12/2018	2859010,65
Janeiro	2019	1743739,49	01/01/2019	2423340,582
Fevereiro	2019	1954245,96	01/02/2019	2715889,368
Março	2019	1888413,19	01/03/2019	2624399,083
Abril	2019	2197127,77	01/04/2019	3053431,387
Maio	2019	2715974,33	01/05/2019	3774492,034
Junho	2019	2109988,37	01/06/2019	2932330,474
Julho	2019	3062777,34	01/07/2019	4256457,266
Agosto	2019	2566577,58	01/08/2019	3566869,731
Setembro	2019	2089439,76	01/09/2019	2903773,295
Outubro	2019	3232506,93	01/10/2019	4492336,883
Novembro	2019	2588089,68	01/11/2019	3596765,909
Dezembro	2019	2973747,93	01/12/2019	4132729,734
Janeiro	2020	2050320,99	01/01/2020	2755161,216
Fevereiro	2020	2059301,04	01/02/2020	2767228,343
Março	2020	2195143,43	01/03/2020	2949769,363
Abril	2020	2088262,72	01/04/2020	2806146,2
Maio	2020	2899878,13	01/05/2020	3896771,185
Junho	2020	2580511,26	01/06/2020	3467615,351
Julho	2020	2980141,6	01/07/2020	4004626,882
Agosto	2020	3727061,6	01/08/2020	5008316,073
Setembro	2020	3731698,33	01/09/2020	5014546,775
Outubro	2020	3068843,77	01/10/2020	4123822,257
Novembro	2020	3793604,2	01/11/2020	5097734,067
Dezembro	2020	3089132,08	01/12/2020	4151085,093
Janeiro	2021	2401415,95	01/01/2021	3105077,191
Fevereiro	2021	4713361,25	01/02/2021	6094467,103
Março	2021	6445647,87	01/03/2021	8334347,15
Abril	2021	6120340,01	01/04/2021	7913717,806
Maio	2021	3507673,34	01/05/2021	4535489,356
Junho	2021	2208774,01	01/06/2021	2855987,443
Julho	2021	2153339,6	01/07/2021	2784309,68
Agosto	2021	3601465,02	01/08/2021	4656763,809
Setembro	2021	5627292,57	01/09/2021	7276197,946
Outubro	2021	2543720,83	01/10/2021	3289080,148
Novembro	2021	2971528,45	01/11/2021	3842243,661
Dezembro	2021	3565714,61	01/12/2021	4610537,839
Janeiro	2022	2674057,99	01/01/2022	3095101,499
Fevereiro	2022	3096245	01/02/2022	3583763,918
Março	2022	3773663,96	01/03/2022	4367845,807
Abril	2022	3441943,39	01/04/2022	3983894,211
Maio	2022	3467546,59	01/05/2022	4013528,76
Junho	2022	3269777,15	01/06/2022	3784619,554
Julho	2022	3899616,42	01/07/2022	4513630,098
Agosto	2022	4879074,94	01/08/2022	5647309,152
Setembro	2022	4438045,6	01/09/2022	5136837,585
Outubro	2022	3610792,39	01/10/2022	4179329,311
Novembro	2022	3987925,4	01/11/2022	4615843,758
Dezembro	2022	4055297,92	01/12/2022	4693824,411
Janeiro	2023	3201481,44	01/01/2023	3536311,02
Fevereiro	2023	3156207,76	01/02/2023	3486302,354
Março	2023	3746352,65	01/03/2023	4138168,035
Abril	2023	3459305,88	01/04/2023	3821100,242
Maio	2023	4331136,7	01/05/2023	4784112,208
Junho	2023	3085768,02	01/06/2023	3408495,616
Julho	2023	2779943,62	01/07/2023	3070686,319
Agosto	2023	2926948,61	01/08/2023	3233065,947
Setembro	2023	4574303,87	01/09/2023	5052711,217
Outubro	2023	6081662,88	01/10/2023	6717718,614
Novembro	2023	5491934,35	01/11/2023	6066312,838
Dezembro	2023	3287631,81	01/12/2023	3631471,497
Janeiro	2024	3265001,78	01/01/2024	3420478,055
Fevereiro	2024	2736554,1	01/02/2024	2866866,2
Março	2024	4264767,93	01/03/2024	4467852,117
Abril	2024	5182780,66	01/04/2024	5429579,739
Maio	2024	3614169,36	01/05/2024	3786272,663
Junho	2024	3660892,61	01/06/2024	3835220,83
Julho	2024	4694538,72	01/07/2024	4918088,183
Agosto	2024	4569560,34	01/08/2024	4787158,451
Setembro	2024	4493015,03	01/09/2024	4706968,127
Outubro	2024	4952615,28	01/10/2024	5188454,103
Novembro	2024	4403820,61	01/11/2024	4613526,353
Dezembro	2024	5026080,5	01/12/2024	5265417,667
Janeiro	2025	3529608,19	01/01/2025	3529608,19
Fevereiro	2025	4494771,08	01/02/2025	4494771,08
Março	2025	3845421	01/03/2025	3845421
Abril	2025	5075463,03	01/04/2025	5075463,03
